City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Upernavik,GL,2021-01-27 18:35:22,72.7868,-56.1549,-1.5,91,100,2.89
111,Ampanihy,MG,2021-01-27 18:37:00,-24.7,44.75,77.4,77,52,8.52
112,Port Alfred,ZA,2021-01-27 18:35:31,-33.5906,26.891,66.0,94,59,4.0
113,Yumen,CN,2021-01-27 18:37:00,40.2833,97.2,19.22,73,0,1.7
114,Komsomolskiy,UZ,2021-01-27 18:37:01,40.4272,71.7189,30.2,69,0,4.61
115,Tsabong,BW,2021-01-27 18:37:01,-26.0217,22.401,81.27,22,94,8.81
116,Nannilam,IN,2021-01-27 18:37:01,10.8793,79.6106,69.98,83,53,6.44
117,Suntar,RU,2021-01-27 18:37:01,62.1444,117.6319,-45.98,78,98,1.81
118,Beringovskiy,RU,2021-01-27 18:37:02,63.05,179.3167,16.99,96,100,29.64
119,Amurzet,RU,2021-01-27 18:32:10,47.6967,131.0981,-11.29,84,0,1.74
120,Butaritari,KI,2021-01-27 18:37:02,3.0707,172.7902,80.29,79,100,11.61
121,Oum Hadjer,TD,2021-01-27 18:37:02,13.2954,19.6966,78.85,15,30,11.68
122,Baghdad,IQ,2021-01-27 18:33:54,33.3406,44.4009,60.8,33,40,8.05
123,Kirakira,SB,2021-01-27 18:37:03,-10.4544,161.9205,80.91,82,99,10.87
124,Jumla,NP,2021-01-27 18:37:03,29.2747,82.1838,33.53,43,0,5.37
125,Martapura,ID,2021-01-27 18:37:03,-3.4167,114.85,77.0,94,90,3.44
126,Elko,US,2021-01-27 18:37:03,41.0002,-115.5012,35.01,73,95,14.0
127,Banda Aceh,ID,2021-01-27 18:37:03,5.5577,95.3222,77.86,81,21,3.2
128,Muskogee,US,2021-01-27 18:37:04,35.5834,-95.3336,33.8,69,90,16.11
129,Bati,ET,2021-01-27 18:37:04,11.1833,40.0167,57.02,46,0,4.47
130,Norman Wells,CA,2021-01-27 18:37:04,65.282,-126.8329,-32.8,68,40,3.44
131,General Roca,AR,2021-01-27 18:37:04,-39.0333,-67.5833,71.6,33,0,5.75
132,Kaman,IN,2021-01-27 18:37:05,27.65,77.2667,48.79,50,0,3.36
133,Mersing,MY,2021-01-27 18:37:05,2.4312,103.8405,78.8,83,100,10.36
134,Chumikan,RU,2021-01-27 18:37:06,54.7183,135.315,-11.7,89,100,6.31
135,Olafsvik,IS,2021-01-27 18:37:06,64.8945,-23.7142,30.42,88,100,16.73
136,Vila Velha,BR,2021-01-27 18:37:06,-20.3297,-40.2925,88.0,51,20,16.11
137,Turukhansk,RU,2021-01-27 18:37:06,65.8167,87.9833,-28.26,82,100,6.44
138,Ghatampur,IN,2021-01-27 18:37:06,26.1667,80.1667,49.28,68,0,1.32
139,Clyde River,CA,2021-01-27 18:37:07,70.4692,-68.5914,-7.6,77,40,2.3
140,Mahebourg,MU,2021-01-27 18:37:07,-20.4081,57.7,77.0,83,20,6.91
141,Ixtapa,MX,2021-01-27 18:32:13,20.7,-105.2,85.35,31,59,5.91
142,Russell,US,2021-01-27 18:37:08,32.3502,-85.1999,62.01,63,90,12.66
143,Lakes Entrance,AU,2021-01-27 18:37:08,-37.8811,147.981,64.99,77,100,5.01
144,Leningradskiy,RU,2021-01-27 18:37:08,69.3833,178.4167,-18.2,87,100,3.53
145,Edd,ER,2021-01-27 18:37:08,13.9297,41.6925,78.1,44,0,20.83
146,Kadirli,TR,2021-01-27 18:37:08,37.3739,36.0961,49.05,52,89,9.93
147,Sinnamary,GF,2021-01-27 18:37:09,5.3833,-52.95,80.33,72,14,12.24
148,Brae,GB,2021-01-27 18:37:09,60.3964,-1.353,33.8,86,20,8.05
149,Khatanga,RU,2021-01-27 18:35:27,71.9667,102.5,-29.25,80,0,7.43
150,Joshimath,IN,2021-01-27 18:37:09,30.5667,79.5667,38.64,39,0,6.38
151,Mabaruma,GY,2021-01-27 18:37:09,8.2,-59.7833,80.69,64,100,7.31
152,Bengkulu,ID,2021-01-27 18:37:10,-3.8004,102.2655,74.62,93,100,8.57
153,Souillac,MU,2021-01-27 18:37:10,-20.5167,57.5167,77.0,83,20,6.91
154,San Jeronimo,PE,2021-01-27 18:37:10,-11.9472,-75.2829,63.48,48,100,4.38
155,Tura,IN,2021-01-27 18:37:11,25.5198,90.2201,57.45,64,0,2.91
156,Mataram,ID,2021-01-27 18:37:11,-8.5833,116.1167,77.0,94,75,8.03
157,Labuhan,ID,2021-01-27 18:37:11,-6.8844,112.2051,77.97,86,100,12.93
158,Kushima,JP,2021-01-27 18:37:11,31.4583,131.2333,44.01,93,0,4.0
159,Kutum,SD,2021-01-27 18:37:11,14.2,24.6667,69.22,22,100,13.0
160,Arraial Do Cabo,BR,2021-01-27 18:37:12,-22.9661,-42.0278,89.6,51,0,27.63
161,Saint-Philippe,RE,2021-01-27 18:37:12,-21.3585,55.7679,80.6,69,20,6.46
